=== SINGLE ROUND: posterior family mass after 150 shots, 80 rounds per scenario ===
truth                          M0     A1    A2o     A4     A5     A7  lnBF(true)  min-p rej
H0 independent               0.84   0.03   0.04   0.03   0.03   0.04         1.1       0.03
A1 shared lam=1              0.00   1.00   0.00   0.00   0.00   0.00        83.6       1.00
A1 shared lam=.5             0.00   0.99   0.00   0.00   0.00   0.00        16.0       1.00
A2 master+offset lam=1       0.00   0.00   1.00   0.00   0.00   0.00        43.4       1.00
A2 master+offset lam=.5      0.20   0.00   0.75   0.02   0.00   0.03         4.3       0.64
A2 master+offset lam=.25     0.72   0.02   0.15   0.03   0.02   0.05        -1.1       0.12
A4 no-adjacent lam=1         0.00   0.00   0.00   1.00   0.00   0.00        26.1       1.00
A4 no-adjacent lam=.5        0.18   0.01   0.02   0.77   0.01   0.01         3.3       0.57
A5 cross-station lam=1       0.00   0.00   0.00   0.00   1.00   0.00        80.2       1.00
A5 cross-station lam=.5      0.03   0.00   0.00   0.01   0.96   0.00        14.3       0.97
A7 firing-order lam=1        0.00   0.00   0.00   0.00   0.00   1.00        46.2       0.78
A7 firing-order lam=.5       0.23   0.00   0.01   0.01   0.01   0.73         3.5       0.14

lnBF(true): median natural-log Bayes factor of the true family against M0 (H0 row: minus the largest alternative lnBF, positive favours M0). min-p rej: rejection rate of the original single-round battery at alpha 0.05.

=== PREQUENTIAL PREDICTION: accuracy by 30-shot block and mean log-loss per shot ===
counting = M0 predictor (the 60.7 per cent ceiling); mixture = posterior predictive over the library; oracle = true model, true lam
truth                     predictor      b1     b2     b3     b4     b5    all  logloss
H0 independent            counting    0.407  0.500  0.533  0.584  1.000  0.605   0.6802
H0 independent            mixture     0.390  0.500  0.532  0.599  1.000  0.604   0.6836
H0 independent            oracle      0.407  0.500  0.533  0.584  1.000  0.605   0.6802

A1 shared lam=1           counting    0.405  0.528  0.523  0.637  1.000  0.618   0.6802
A1 shared lam=1           mixture     0.886  0.921  0.922  0.940  1.000  0.934   0.1380
A1 shared lam=1           oracle      0.901  0.921  0.920  0.940  1.000  0.936   0.1134

A1 shared lam=.5          counting    0.369  0.511  0.518  0.587  1.000  0.597   0.6802
A1 shared lam=.5          mixture     0.497  0.613  0.678  0.742  1.000  0.706   0.5797
A1 shared lam=.5          oracle      0.550  0.633  0.684  0.741  1.000  0.722   0.5582

A2 master+offset lam=1    counting    0.403  0.498  0.537  0.599  1.000  0.607   0.6802
A2 master+offset lam=1    mixture     0.396  0.535  0.911  1.000  1.000  0.768   0.4062
A2 master+offset lam=1    oracle      0.403  0.553  0.930  1.000  1.000  0.777   0.3816

A2 master+offset lam=.5   counting    0.409  0.491  0.545  0.592  1.000  0.607   0.6802
A2 master+offset lam=.5   mixture     0.394  0.504  0.605  0.768  1.000  0.654   0.6549
A2 master+offset lam=.5   oracle      0.409  0.503  0.633  0.783  1.000  0.665   0.6381

A2 master+offset lam=.25  counting    0.391  0.506  0.536  0.592  1.000  0.605   0.6802
A2 master+offset lam=.25  mixture     0.390  0.512  0.552  0.648  1.000  0.620   0.6814
A2 master+offset lam=.25  oracle      0.391  0.510  0.556  0.652  1.000  0.622   0.6766

A4 no-adjacent lam=1      counting    0.407  0.740  0.511  0.498  1.000  0.631   0.6802
A4 no-adjacent lam=1      mixture     0.410  0.751  0.675  0.663  1.000  0.700   0.5215
A4 no-adjacent lam=1      oracle      0.407  0.740  0.679  0.678  1.000  0.701   0.4970

A4 no-adjacent lam=.5     counting    0.416  0.622  0.509  0.542  1.000  0.618   0.6802
A4 no-adjacent lam=.5     mixture     0.414  0.631  0.588  0.618  1.000  0.650   0.6652
A4 no-adjacent lam=.5     oracle      0.416  0.622  0.591  0.617  1.000  0.649   0.6477

A5 cross-station lam=1    counting    0.387  0.515  0.521  0.583  1.000  0.601   0.6802
A5 cross-station lam=1    mixture     0.853  0.905  0.905  0.916  1.000  0.916   0.1606
A5 cross-station lam=1    oracle      0.878  0.903  0.904  0.917  1.000  0.920   0.1360

A5 cross-station lam=.5   counting    0.389  0.500  0.554  0.585  1.000  0.606   0.6802
A5 cross-station lam=.5   mixture     0.492  0.591  0.678  0.710  1.000  0.694   0.5957
A5 cross-station lam=.5   oracle      0.548  0.622  0.690  0.702  1.000  0.712   0.5746

A7 firing-order lam=1     counting    0.375  0.418  0.485  0.649  1.000  0.585   0.6802
A7 firing-order lam=1     mixture     0.557  0.652  0.760  0.872  1.000  0.769   0.3891
A7 firing-order lam=1     oracle      0.587  0.647  0.760  0.877  1.000  0.774   0.3645

A7 firing-order lam=.5    counting    0.392  0.490  0.535  0.625  1.000  0.608   0.6802
A7 firing-order lam=.5    mixture     0.450  0.511  0.560  0.693  1.000  0.643   0.6677
A7 firing-order lam=.5    oracle      0.484  0.520  0.557  0.705  1.000  0.653   0.6500

